customer_id,name,gender,age,city,join_date,membership_tier
1,Jason Walker,Male,25,Bangalore,1/15/2023,Silver
2,Erin Green,Male,47,Mumbai,3/11/2023,Gold
3,Laura Wilson,Female,51,Kolkata,5/12/2024,Gold
4,Julie Williams,Male,39,Bangalore,8/7/2023,Gold
5,Dale Mendoza,Male,29,Mumbai,11/17/2022,Platinum
6,Robert Ellis,Female,41,Delhi,2/1/2023,Silver
7,Brian Taylor,Female,29,Pune,5/6/2023,Silver
8,Kenneth Rojas,Female,21,Delhi,10/10/2024,Bronze
9,Kellie Porter,Female,36,Delhi,2/10/2023,Silver
10,Heather Carpenter,Female,36,Kolkata,11/11/2023,Platinum
11,Michelle James,Male,42,Pune,4/1/2023,Silver
12,Teresa Kelley,Female,20,Pune,12/13/2023,Platinum
13,Paul Soto,Male,53,Delhi,7/11/2023,Silver
14,Stephanie Estrada,Male,48,Mumbai,2/23/2023,Bronze
15,Jonathan Smith,Male,39,Pune,8/17/2023,Platinum
16,David Perkins,Male,19,Mumbai,9/2/2024,Gold
17,Katie Ray,Male,59,Delhi,8/18/2025,Platinum
18,Jacob Green,Female,27,Mumbai,11/11/2023,Gold
19,Erin Jones,Male,32,Bangalore,4/8/2023,Silver
20,Christian Harris,Male,47,Kolkata,3/19/2024,Bronze
21,Meagan Davis,Female,23,Kolkata,10/14/2024,Bronze
22,Elizabeth Ho,Male,60,Pune,11/23/2023,Silver
23,Arthur Graham,Female,43,Mumbai,12/31/2022,Platinum
24,John Jimenez,Male,51,Mumbai,9/3/2023,Bronze
25,Olivia Knight,Male,56,Mumbai,5/4/2024,Gold
26,Garrett Davis,Female,53,Pune,6/29/2025,Platinum
27,Mr. Jeremy Bonilla,Male,22,Pune,12/31/2023,Bronze
28,Donald Young PhD,Male,28,Pune,6/3/2025,Gold
29,Samuel Mitchell,Female,25,Bangalore,5/15/2023,Platinum
30,Sabrina Simpson,Male,50,Bangalore,5/15/2024,Silver
31,Manuel Gonzalez,Male,51,Delhi,9/6/2025,Silver
32,James Jackson II,Female,24,Pune,10/27/2023,Gold
33,Teresa Walsh PhD,Female,35,Delhi,7/10/2024,Gold
34,Maria Munoz,Male,26,Delhi,1/12/2025,Bronze
35,Brandi Brown,Female,33,Kolkata,10/16/2024,Platinum
36,Ronald Miller,Male,37,Bangalore,1/3/2023,Gold
37,Levi Erickson,Male,56,Pune,3/30/2024,Bronze
38,Kimberly Johnson,Female,24,Kolkata,9/3/2024,Gold
39,Diane Clements,Female,35,Kolkata,10/31/2023,Silver
40,Megan Smith,Male,60,Bangalore,10/16/2023,Silver
41,Charles Erickson,Female,47,Kolkata,5/20/2023,Bronze
42,Kevin Gonzalez,Female,33,Kolkata,1/31/2024,Bronze
43,Tiffany Reynolds,Male,41,Kolkata,2/6/2024,Gold
44,Sharon Walsh,Male,58,Delhi,2/15/2023,Bronze
45,Alyssa Joyce,Female,20,Pune,4/2/2024,Platinum
46,Dawn Kirby,Female,60,Mumbai,12/13/2022,Bronze
47,Michael Mullen,Male,45,Delhi,6/12/2023,Bronze
48,Sharon Poole,Male,38,Pune,5/1/2023,Gold
49,Nicole Gomez,Male,46,Kolkata,7/5/2023,Silver
50,Jacob Wright,Female,35,Pune,10/23/2023,Platinum
51,Christopher Williams,Male,25,Bangalore,1/1/2025,Gold
52,Meredith Murphy,Female,25,Pune,5/29/2025,Gold
53,Joseph Mcdaniel MD,Male,37,Pune,3/21/2024,Bronze
54,Jamie Rogers,Male,45,Bangalore,12/9/2022,Platinum
55,Dale West,Female,51,Bangalore,5/2/2025,Platinum
56,Nicholas Perry,Male,44,Bangalore,4/2/2023,Silver
57,Jessica Gray,Male,42,Mumbai,4/21/2025,Gold
58,John Duke,Male,51,Kolkata,4/29/2023,Silver
59,Jessica Martinez,Female,27,Mumbai,8/5/2023,Silver
60,Tamara Santiago,Male,19,Delhi,11/13/2023,Platinum
61,Stephen Clark,Female,38,Kolkata,12/9/2022,Platinum
62,Andrew Santos,Male,24,Delhi,6/9/2025,Gold
63,Ryan Wyatt,Male,54,Kolkata,8/20/2024,Platinum
64,Regina Jenkins,Female,25,Mumbai,4/15/2023,Gold
65,Karen Rodriguez,Male,38,Mumbai,4/28/2024,Bronze
66,Jordan Ortiz,Male,25,Mumbai,4/3/2024,Gold
67,Yesenia Gray,Male,60,Mumbai,8/3/2023,Gold
68,Jasmine Smith,Female,46,Mumbai,9/16/2025,Silver
69,Tasha Saunders,Female,54,Mumbai,2/22/2023,Silver
70,Tracy Sanford,Male,20,Bangalore,11/2/2023,Silver
71,John Atkins,Female,59,Bangalore,1/10/2024,Gold
72,Jason Silva,Female,51,Bangalore,10/21/2024,Gold
73,Matthew Rodriguez,Female,39,Pune,9/8/2025,Platinum
74,Tony Evans,Female,53,Mumbai,11/21/2022,Silver
75,Robert Harris,Female,60,Delhi,12/11/2022,Gold
76,John Clark,Male,58,Kolkata,4/1/2025,Silver
77,Jillian Torres,Female,48,Kolkata,8/2/2025,Gold
78,Daniel Williams,Male,36,Delhi,9/17/2024,Platinum
79,Matthew Barrett,Male,34,Mumbai,3/16/2024,Gold
80,Jeffrey Gonzales,Female,37,Mumbai,7/24/2025,Silver
81,Douglas Swanson,Female,23,Mumbai,2/27/2023,Silver
82,Kristen Garcia,Male,49,Kolkata,12/31/2024,Platinum
83,Marisa Benson,Female,45,Mumbai,6/7/2024,Platinum
84,Richard Bruce,Female,51,Pune,10/10/2023,Platinum
85,Christopher Gordon,Male,57,Kolkata,2/23/2024,Bronze
86,Laura Coleman,Female,52,Pune,9/26/2023,Bronze
87,Jennifer Russell,Male,55,Mumbai,4/29/2023,Silver
88,Christopher Turner,Male,59,Bangalore,11/6/2023,Silver
89,Wendy Stevens,Male,27,Delhi,5/7/2023,Gold
90,Paula Nguyen,Male,58,Bangalore,6/8/2023,Platinum
91,Robin Hamilton MD,Male,35,Mumbai,5/14/2024,Bronze
92,Joseph Campbell,Female,58,Delhi,1/1/2023,Platinum
93,Stacy Crawford,Male,24,Kolkata,5/12/2025,Platinum
94,Bryan Johnston,Male,43,Delhi,2/22/2024,Silver
95,Heather Wilson,Male,40,Mumbai,10/2/2024,Gold
96,Aaron Foley DDS,Female,56,Mumbai,9/6/2023,Silver
97,John Thomas,Male,39,Delhi,2/3/2025,Gold
98,Julia Perry,Female,46,Mumbai,9/18/2023,Silver
99,Nichole Miller,Male,53,Bangalore,9/21/2023,Platinum
100,Kyle Jones,Male,55,Bangalore,5/20/2025,Gold
101,Casey Henderson,Male,60,Pune,1/4/2024,Bronze
102,Ruben Andrews,Female,26,Delhi,10/8/2025,Gold
103,Heather Wilson,Male,47,Pune,5/25/2024,Platinum
104,Alexis Ross,Male,53,Kolkata,2/1/2024,Platinum
105,George Jacobs,Male,26,Pune,9/9/2024,Silver
106,Sarah Thornton,Male,56,Delhi,3/17/2023,Bronze
107,Michael Calderon,Male,44,Mumbai,5/24/2025,Platinum
108,Brenda Washington,Female,37,Delhi,11/23/2022,Platinum
109,Jackie Campos,Male,47,Mumbai,11/13/2022,Gold
110,Sally Smith,Male,46,Bangalore,6/17/2024,Silver
111,Jeffery Morris,Male,46,Bangalore,9/1/2024,Gold
112,Brooke Rodriguez,Female,23,Pune,1/24/2023,Platinum
113,Andrew Brown,Male,48,Pune,2/22/2025,Silver
114,Lauren Madden,Male,50,Bangalore,11/13/2023,Gold
115,Franklin Phelps,Male,57,Mumbai,11/5/2024,Silver
116,Tammy Ferguson,Male,34,Mumbai,9/21/2023,Platinum
117,Maria Keller,Male,50,Pune,5/3/2025,Bronze
118,Johnny Allen,Male,46,Bangalore,9/17/2023,Gold
119,Donald Underwood,Male,55,Kolkata,7/13/2025,Platinum
120,Jillian Garcia,Female,54,Delhi,4/6/2024,Silver
121,Julia Keller,Female,51,Bangalore,4/18/2024,Platinum
122,Katherine Oconnell,Female,20,Bangalore,1/2/2024,Silver
123,Jeremy Hobbs,Female,30,Pune,10/15/2025,Platinum
124,Nathan Cruz,Female,36,Pune,11/22/2024,Bronze
125,Denise Long,Male,42,Mumbai,5/21/2024,Platinum
126,Katherine Morrison,Male,43,Mumbai,4/6/2023,Platinum
127,Tracy Wright,Male,45,Bangalore,11/9/2022,Bronze
128,Elizabeth Townsend,Female,21,Delhi,11/24/2024,Bronze
129,Courtney Burke,Male,31,Pune,6/21/2024,Silver
130,Daniel Lopez,Female,44,Pune,11/21/2022,Bronze
131,Christopher Cameron,Male,18,Kolkata,2/4/2023,Gold
132,Taylor Ramirez,Female,55,Bangalore,10/24/2023,Bronze
133,Samantha Howell,Male,56,Bangalore,2/2/2024,Silver
134,Martha Jackson,Female,42,Kolkata,7/9/2024,Silver
135,Harold Dennis,Male,38,Pune,8/16/2023,Silver
136,Kathy Sparks,Female,32,Bangalore,6/29/2023,Gold
137,Kaylee Brown,Female,19,Mumbai,4/29/2024,Bronze
138,Mr. Richard Fox,Male,56,Bangalore,10/10/2023,Silver
139,Joanna Shelton,Male,42,Mumbai,4/11/2023,Silver
140,Sarah Velasquez,Female,57,Bangalore,2/1/2025,Bronze
141,Lisa Kirby,Female,23,Mumbai,9/25/2024,Platinum
142,Christopher French II,Male,57,Kolkata,7/9/2024,Bronze
143,Jaime Sims,Male,33,Mumbai,9/26/2024,Silver
144,Dustin Hopkins,Female,35,Mumbai,5/14/2024,Platinum
145,Richard Cook,Male,53,Mumbai,1/15/2025,Platinum
146,David Marshall,Male,38,Bangalore,7/19/2024,Silver
147,Anthony Green,Female,30,Kolkata,1/11/2025,Platinum
148,Richard Farrell,Female,56,Delhi,6/12/2025,Gold
149,Peter Smith,Male,41,Pune,12/21/2024,Platinum
150,Michael Pham,Female,18,Delhi,8/20/2025,Silver
151,Ronald Harris,Female,53,Pune,1/18/2025,Platinum
152,Adam Williams,Female,28,Kolkata,2/8/2023,Silver
153,Rita Sanchez,Female,25,Pune,1/22/2024,Bronze
